Mod,PP,Address,Name,Access,Description,Type,width,rdata,wdata,shadow,resetVal,reset,triggerCnt,latch,connect_to_port,implemented,ifdef,comment
cache_bank,3,0x00F,sc_reqq_debug_ctl,RW,Shire cache reqq debug control,MANUAL,,'0,,,,NON-DEBUG,,NO,NO,YES,,
cache_bank,3,0x010,sc_reqq_debug0,RO,Shire cache reqq debug value 0,MANUAL,,esr_status_reqq_debug0,,,,NON-DEBUG,,NO,NO,YES,,
cache_bank,3,0x011,sc_reqq_debug1,RO,Shire cache reqq debug value 1,MANUAL,,esr_status_reqq_debug1,,,,NON-DEBUG,,NO,NO,YES,,
cache_bank,3,0x012,sc_reqq_debug2,RO,Shire cache reqq debug value 2,MANUAL,,esr_status_reqq_debug2,,,,NON-DEBUG,,NO,NO,YES,,
cache_bank,3,0x013,sc_reqq_debug3,RO,Shire cache reqq debug value 3,MANUAL,,esr_status_reqq_debug3,,,,NON-DEBUG,,NO,NO,YES,,
cache_bank,3,0x014,sc_eco_ctl,RW,Shire cache ECO control,,8,,,,'0,GLOBAL,,NO,NO,YES,,
cache_bank,3,0x015,,,,,,,,,,,,,,NO,,
cache_bank,3,0x016,,,,,,,,,,,,,,NO,,
cache_bank,3,0x017,sc_perfmon_ctl_status,RW,Shire cache performance monitor control and status register,MANUAL,,esr_status_perfmon_ctl_status,,,,GLOBAL,,NO,NO,YES,,
cache_bank,3,0x018,sc_perfmon_cyc_cntr,RW,Shire cache performance monitor cycle counter,MANUAL,,esr_status_perfmon_cyc_cntr,,,,GLOBAL,,NO,NO,YES,,
cache_bank,3,0x019,sc_perfmon_p0_cntr,RW,Shire cache performance monitor p0 counter,MANUAL,,esr_status_perfmon_p0_cntr,,,,GLOBAL,,NO,NO,YES,,
cache_bank,3,0x01A,sc_perfmon_p1_cntr,RW,Shire cache performance monitor p1 counter,MANUAL,,esr_status_perfmon_p1_cntr,,,,GLOBAL,,NO,NO,YES,,
cache_bank,3,0x01B,sc_perfmon_p0_qual,RW,Shire cache performance monitor p0 qualifier,MANUAL,,esr_status_perfmon_p0_qual,,,,GLOBAL,,NO,NO,YES,,
cache_bank,3,0x01C,sc_perfmon_p1_qual,RW,Shire cache performance monitor p1 qualifier,MANUAL,,esr_status_perfmon_p1_qual,,,,GLOBAL,,NO,NO,YES,,
cache_bank,0,0x020,sc_idx_cop_sm_ctl_user,RW,User Access Index Cache Op State Machine Control,MANUAL,,esr_status_pipe_idx_cop_sm_ctl_user,,,,NON-DEBUG,,NO,NO,YES,,
cache_bank,2,0x3f0,sc_trace_address_enable,RW,Shire cache trace address enable,,40,,,,'0,DEBUG,,NO,NO,YES,,
cache_bank,2,0x3f1,sc_trace_address_value,RW,Shire cache trace address value,,40,,,,,DEBUG,,NO,NO,YES,,
cache_bank,2,0x3f2,sc_trace_ctl,RW,Shire cache trace control,esr_sc_trace_ctl_t,,,,,`ESR_SC_TRACE_CTL_RESET_VAL,DEBUG,,NO,NO,YES,,
,,,,,,,,,,,,,,,,,,
