Address,Name,Privilege,Access,Description,shared,Type,width,rdata,sign_ext_rdata,wdata,shadow,resetVal,aon,reset,triggerCnt,latch,implemented,ifdef,trap_if,comment
0xB0C,mhpmcounter12,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB0D,mhpmcounter13,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB0E,mhpmcounter14,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB0F,mhpmcounter15,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB10,mhpmcounter16,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB11,mhpmcounter17,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB12,mhpmcounter18,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB13,mhpmcounter19,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB14,mhpmcounter20,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB15,mhpmcounter21,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB16,mhpmcounter22,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB17,mhpmcounter23,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB18,mhpmcounter24,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB19,mhpmcounter25,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB1A,mhpmcounter26,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB1B,mhpmcounter27,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB1C,mhpmcounter28,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB1D,mhpmcounter29,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB1E,mhpmcounter30,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0xB1F,mhpmcounter31,machine,RW-HWIRED,Machine performance-monitoring counter,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
,,,,,,,,,,,,,,,,,,,,
0x329,mhpmevent9,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x32A,mhpmevent10,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x32B,mhpmevent11,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x32C,mhpmevent12,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x32D,mhpmevent13,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x32E,mhpmevent14,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x32F,mhpmevent15,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x330,mhpmevent16,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x331,mhpmevent17,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x332,mhpmevent18,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x333,mhpmevent19,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x334,mhpmevent20,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x335,mhpmevent21,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x336,mhpmevent22,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x337,mhpmevent23,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x338,mhpmevent24,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x339,mhpmevent25,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x33A,mhpmevent26,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x33B,mhpmevent27,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x33C,mhpmevent28,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x33D,mhpmevent29,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x33E,mhpmevent30,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
0x33F,mhpmevent31,machine,RW-HWIRED,Machine performance-monitoring event selector,YES,,0,64'h0,,,,,,,,,YES,,,hardwired to 0
