Address,Name,Privilege,Access,Description,shared,Type,width,rdata,sign_ext_rdata,wdata,shadow,resetVal,aon,reset,triggerCnt,latch,implemented,ifdef,trap_if,comment
0x8D2,validation2,user,RW,CSR used for validation only,NO,,,,,,,,,NON-DEBUG,,YES,YES,ET_SIMULATION,,register used for validation only
0x8D3,validation3,user,RW,CSR used for validation only,NO,,,,,,,,,NON-DEBUG,,YES,YES,ET_SIMULATION,,register used for validation only
0x8D0,validation0_ps,user,RW,CSR used for validation only,NO,,1,64'h0,,,,,,NON-DEBUG,,NO,YES,NOT_VERIF_SIMULATION,,register used for validation only
0x8D1,validation1_ps,user,RW,CSR used for validation only,NO,,1,64'h0,,,,,,NON-DEBUG,,NO,YES,NOT_VERIF_SIMULATION,,register used for validation only
0x8D2,validation2_ps,user,RW,CSR used for validation only,NO,,1,64'h0,,,,,,NON-DEBUG,,NO,YES,NOT_VERIF_SIMULATION,,register used for validation only
0x8D3,validation3_ps,user,RW,CSR used for validation only,NO,,1,64'h0,,,,,,NON-DEBUG,,NO,YES,NOT_VERIF_SIMULATION,,register used for validation only
0xCD0,hartid,user,RO,Shadow of mhartid,YES,,,read_hartid,,,,,,NON-DEBUG,,,YES,,,
0xcc0,nb_fcc,user,RO,non blocking read of FCC registers,NO,,,read_nb_fcc,,,,,,NON-DEBUG,,,YES,,esr_features.trap_on_ml,
0X8D5,sleep_txfma_27,user,RW,Shadow of msleep_txfma_27,YES,,1,,,,msleep_txfma_27,,,NON-DEBUG,,NO,NO,,,
Message ports,,,,,,,,,,,,,,,,,,,,
0x8CC,umsg_port0,user,RW,user level control for msg port0,NO,MANUAL,,msg_port_rdata,,,,,,NON-DEBUG,,,NO,,,
0x8CD,umsg_port1,user,RW,user level control for msg port1,NO,MANUAL,,msg_port_rdata,,,,,,NON-DEBUG,,,NO,,,
0x8CE,umsg_port2,user,RW,user level control for msg port2,NO,MANUAL,,msg_port_rdata,,,,,,NON-DEBUG,,,NO,,,
0x8CF,umsg_port3,user,RW,user level control for msg port3,NO,MANUAL,,msg_port_rdata,,,,,,NON-DEBUG,,,NO,,,
0xCC8,porthead0,user,RO,user level head port for msg port0,NO,MANUAL,,msg_port_rdata,,,,,,NON-DEBUG,,,YES,,,
0xCC9,porthead1,user,RO,user level head port for msg port1,NO,MANUAL,,msg_port_rdata,,,,,,NON-DEBUG,,,YES,,,
0xCCA,porthead2,user,RO,user level head port for msg port2,NO,MANUAL,,msg_port_rdata,,,,,,NON-DEBUG,,,YES,,,
0xCCB,porthead3,user,RO,user level head port for msg port3,NO,MANUAL,,msg_port_rdata,,,,,,NON-DEBUG,,,YES,,,
0xCCC,portheadnb0,user,RO,user level headnb nonblocking port for msg port0,NO,MANUAL,,msg_port_rdata,,,,,,NON-DEBUG,,,YES,,,
0xCCD,portheadnb1,user,RO,user level headnb nonblocking port for msg port1,NO,MANUAL,,msg_port_rdata,,,,,,NON-DEBUG,,,YES,,,
0xCCE,portheadnb2,user,RO,user level headnb nonblocking port for msg port2,NO,MANUAL,,msg_port_rdata,,,,,,NON-DEBUG,,,YES,,,
